,Child utterance,Child gaze,Child gesture,Parent utterance,Verbal scaffolding,Parent gaze,Parent gesture,Child prop manipulation,Parent prop manipulation,Conversational turns,Joint attention,Mutual gaze,time
0,0,1,0,0,0,1,0,0,0,0,1,0,8.318
1,0,1,0,0,0,1,0,0,0,0,1,0,8.818
2,0,1,0,0,0,1,0,0,0,0,1,0,9.318
3,0,1,0,0,0,1,0,0,0,0,0,0,9.818
4,0,1,0,0,0,1,0,0,0,0,0,1,10.318
5,0,1,0,0,0,1,0,0,0,0,0,1,10.818
6,0,1,0,0,0,1,0,0,0,0,1,1,11.318
7,0,1,0,0,0,1,0,0,0,0,1,0,11.818
8,0,1,0,0,0,1,0,0,0,0,1,0,12.318
9,0,1,0,0,0,1,0,0,0,0,1,0,12.818
10,0,1,0,0,0,1,0,0,0,0,1,0,13.318
11,1,1,0,0,0,1,0,0,0,0,0,1,13.818
12,1,1,0,0,0,1,0,0,0,0,0,1,14.318
13,0,1,0,0,0,1,0,0,0,0,1,0,14.818
14,0,1,0,0,0,1,0,0,0,0,1,0,15.318
15,0,1,0,0,0,1,0,0,0,0,1,0,15.818
16,0,1,0,0,0,1,0,0,0,0,1,0,16.317999999999998
17,0,1,0,0,0,1,0,0,0,0,1,0,16.817999999999998
18,0,1,0,0,0,1,0,0,0,0,1,0,17.317999999999998
19,0,1,0,0,0,1,0,0,0,0,1,0,17.817999999999998
20,0,1,0,0,0,1,0,0,0,0,1,0,18.317999999999998
21,0,1,0,0,0,1,0,0,0,0,1,0,18.817999999999998
22,0,1,0,0,0,1,0,0,0,0,1,0,19.317999999999998
23,0,1,1,0,0,1,0,0,0,0,1,0,19.817999999999998
24,0,1,1,0,0,1,0,0,0,0,1,0,20.317999999999998
25,0,1,1,0,0,1,0,0,0,0,1,0,20.817999999999998
26,0,1,1,0,0,1,0,0,0,0,1,0,21.317999999999998
27,0,1,1,0,0,1,0,0,0,0,1,0,21.817999999999998
28,0,1,1,0,0,1,0,0,0,0,1,0,22.317999999999998
29,0,1,0,0,0,1,0,0,0,0,1,0,22.817999999999998
30,0,1,0,0,0,1,0,0,0,0,1,0,23.317999999999998
31,0,1,0,0,0,1,0,0,0,0,1,0,23.817999999999998
32,0,1,0,0,0,1,0,0,0,0,1,0,24.317999999999998
33,0,1,0,0,0,1,0,0,0,0,0,0,24.817999999999998
34,0,1,0,0,0,1,0,0,0,0,0,0,25.317999999999998
35,0,1,0,0,0,1,0,0,0,0,0,0,25.817999999999998
36,0,1,0,0,0,1,0,0,0,0,0,0,26.317999999999998
37,0,1,0,0,0,1,0,0,0,0,0,0,26.817999999999998
38,0,1,0,0,0,1,0,0,0,0,0,0,27.317999999999998
39,0,1,0,0,0,1,0,0,0,0,1,0,27.817999999999998
40,0,1,0,0,0,1,0,0,0,0,1,0,28.317999999999998
41,0,1,0,0,0,1,0,0,0,0,1,0,28.817999999999998
42,0,1,0,0,0,1,0,0,0,0,1,0,29.317999999999998
43,0,1,0,0,0,1,0,0,0,0,1,0,29.817999999999998
44,0,1,0,0,0,1,0,0,0,0,1,0,30.317999999999998
45,0,1,0,0,0,1,0,0,0,0,1,0,30.817999999999998
46,0,1,0,0,0,1,0,0,0,0,1,0,31.317999999999998
47,0,1,0,0,0,1,0,0,0,0,1,0,31.817999999999998
48,0,1,1,0,0,1,0,0,0,0,1,0,32.318
49,0,1,1,0,0,1,0,0,0,0,1,0,32.818
50,0,1,1,0,0,1,0,0,0,0,1,0,33.318
51,0,1,1,0,0,1,0,0,0,0,1,0,33.818
52,0,1,1,0,0,1,0,0,0,0,1,0,34.318
53,0,1,1,0,0,1,0,0,0,0,1,0,34.818
54,0,1,1,0,0,1,0,0,0,0,1,0,35.318
55,0,1,1,0,0,1,0,0,0,0,1,0,35.818
56,0,1,1,0,0,1,0,0,0,0,1,0,36.318
57,0,1,0,0,0,1,0,0,0,0,1,0,36.818
58,0,1,0,0,0,1,0,0,0,0,1,0,37.318
59,0,1,0,0,0,1,0,0,0,0,1,0,37.818
60,0,1,0,0,0,1,0,0,0,0,1,0,38.318
61,0,1,0,0,0,1,0,0,0,0,1,0,38.818
62,0,1,0,0,0,1,0,0,0,0,1,0,39.318
63,0,1,0,0,0,0,0,0,0,0,0,0,39.818
64,0,1,0,0,0,0,0,0,0,0,0,0,40.318
65,0,1,0,0,0,0,0,0,0,0,0,0,40.818
66,0,1,0,0,0,0,0,0,0,0,0,0,41.318
67,0,1,0,0,0,1,0,0,0,0,1,0,41.818
68,0,1,0,0,0,1,0,0,0,0,1,0,42.318
69,0,1,0,0,0,1,0,0,0,0,1,0,42.818
70,0,1,0,0,0,1,0,0,0,0,1,0,43.318
71,0,1,0,0,0,1,0,0,0,0,1,0,43.818
72,0,1,0,0,0,1,0,0,0,0,1,0,44.318
73,0,1,0,0,0,1,0,0,0,0,1,0,44.818
74,0,1,0,0,0,1,0,0,0,0,1,0,45.318
75,0,1,0,0,0,1,0,0,0,0,1,0,45.818
76,0,1,0,0,0,1,0,0,0,0,1,0,46.318
77,1,1,0,0,0,1,0,0,0,0,1,0,46.818
78,1,1,0,0,0,1,0,0,0,0,0,1,47.318
79,1,1,0,0,0,1,0,0,0,0,0,1,47.818
80,0,1,0,0,0,1,0,0,0,0,0,1,48.318
81,0,1,0,0,0,1,0,0,0,0,0,1,48.818
82,0,1,0,0,0,1,0,0,0,0,0,1,49.318
83,0,0,0,0,0,1,0,0,0,0,0,0,49.818
84,0,0,0,0,0,1,0,0,0,0,0,0,50.318
85,0,0,0,0,0,1,0,0,0,0,0,0,50.818
86,1,0,0,0,0,1,0,0,0,1,0,0,51.318
87,1,0,0,0,0,1,0,0,0,1,0,0,51.818
88,1,0,0,0,0,1,0,0,0,1,0,0,52.318
89,0,0,0,0,0,1,0,0,0,1,0,0,52.818
90,0,0,0,0,0,1,0,0,0,1,0,0,53.318
91,0,0,0,1,0,1,0,0,0,1,0,0,53.818
92,0,0,0,1,0,1,0,0,0,1,0,0,54.318
93,0,0,0,0,0,1,0,0,0,0,0,0,54.818
94,0,0,0,0,0,1,0,0,0,0,0,0,55.318
95,0,0,0,0,0,1,0,0,0,0,0,0,55.818
96,0,0,0,0,0,1,0,0,0,0,0,0,56.318
97,0,1,0,0,0,1,0,0,0,0,0,0,56.818
98,0,1,0,0,0,1,0,0,0,0,0,0,57.318
99,0,1,0,0,0,1,0,0,0,0,0,0,57.818
100,0,1,0,0,0,1,0,0,0,0,0,0,58.318
101,0,1,0,0,0,1,0,0,0,0,0,0,58.818
102,0,1,0,0,0,1,0,0,0,0,0,0,59.318
103,0,1,0,0,0,1,0,0,0,0,0,0,59.818
104,0,1,0,0,0,1,0,0,0,0,0,0,60.318
105,0,1,0,0,0,1,0,0,0,0,0,0,60.818
106,0,1,0,0,0,1,0,0,0,0,0,0,61.318
107,0,1,0,0,0,1,0,0,0,0,0,0,61.818
108,0,1,0,0,0,1,0,0,0,0,0,0,62.318
109,0,1,0,0,0,1,0,0,0,0,0,0,62.818
110,0,1,0,0,0,1,0,0,0,0,0,0,63.318
111,0,1,0,0,0,1,0,0,0,0,0,0,63.818
112,0,1,0,0,0,1,0,0,0,0,0,0,64.318
113,0,1,0,0,0,1,0,0,0,0,0,0,64.818
114,0,1,0,0,0,1,0,0,0,0,0,1,65.318
115,1,1,0,0,0,1,0,0,0,0,0,1,65.818
116,1,1,0,0,0,1,0,0,0,0,0,1,66.318
117,1,1,0,0,0,1,0,0,0,0,0,1,66.818
118,1,1,0,0,0,1,0,0,0,0,0,1,67.318
119,0,1,0,0,0,1,0,0,0,0,0,0,67.818
120,0,1,0,0,0,1,0,0,0,0,0,0,68.318
121,0,1,0,0,0,1,0,0,0,0,1,0,68.818
122,0,1,0,0,0,1,0,0,0,0,1,0,69.318
123,0,1,0,0,0,1,0,0,0,0,1,0,69.818
124,0,1,0,0,0,1,0,0,0,0,1,0,70.318
125,0,1,0,0,0,1,0,0,0,0,1,0,70.818
126,0,1,0,0,0,1,0,0,0,0,1,0,71.318
127,0,1,0,0,0,1,0,0,0,0,1,0,71.818
128,0,1,0,0,0,1,0,0,0,0,1,0,72.318
129,0,1,0,0,0,1,0,0,0,0,1,0,72.818
130,0,1,0,0,0,1,0,0,0,0,1,0,73.318
131,0,1,0,0,0,1,0,0,0,0,1,0,73.818
132,0,1,0,0,0,1,0,0,0,0,1,0,74.318
133,0,1,0,0,0,1,0,0,0,0,1,0,74.818
134,0,1,0,0,0,1,0,0,0,0,1,0,75.318
135,0,1,0,0,0,1,0,0,0,0,0,0,75.818
136,0,1,0,0,0,1,0,0,0,0,0,0,76.318
137,0,1,0,0,0,1,0,0,0,0,0,0,76.818
138,0,1,0,0,0,1,0,0,0,0,0,0,77.318
139,0,1,0,0,0,1,0,0,0,0,0,0,77.818
140,0,1,0,0,0,1,0,0,0,0,0,0,78.318
141,0,1,0,0,0,1,0,0,0,0,0,0,78.818
142,0,1,0,0,0,1,0,0,0,0,0,0,79.318
143,0,1,0,0,0,1,0,0,0,0,0,0,79.818
144,0,1,0,1,0,1,0,0,0,1,0,0,80.318
145,0,1,0,1,0,1,0,0,0,1,0,0,80.818
146,0,1,0,0,0,1,0,0,0,1,0,1,81.318
147,0,1,0,0,0,1,0,0,0,1,0,1,81.818
148,0,1,0,0,0,1,0,0,0,1,0,1,82.318
149,1,1,0,0,0,1,0,0,0,1,0,1,82.818
150,1,1,0,0,0,1,0,0,0,1,0,1,83.318
151,1,1,0,0,0,1,0,0,0,1,0,1,83.818
152,0,1,0,0,0,1,0,0,0,1,0,1,84.318
153,0,1,0,0,0,1,0,0,0,1,0,0,84.818
154,0,1,0,0,0,1,0,0,0,1,0,0,85.318
155,0,1,0,0,0,1,0,0,0,1,1,0,85.818
156,0,1,0,1,1,1,1,0,0,1,1,0,86.318
157,0,1,0,1,1,1,1,0,0,1,1,0,86.818
158,0,1,0,1,1,1,1,0,0,1,1,0,87.318
159,0,1,0,0,0,1,0,0,0,0,1,0,87.818
160,0,1,0,0,0,1,0,0,0,0,1,0,88.318
161,0,1,0,0,0,1,0,0,0,0,1,0,88.818
162,0,1,0,0,0,1,0,0,0,0,1,0,89.318
163,0,1,0,0,0,1,0,0,0,0,1,0,89.818
164,0,1,0,0,0,1,0,0,0,0,1,0,90.318
165,0,1,0,0,0,1,0,0,0,0,1,0,90.818
166,0,1,0,0,0,1,0,0,0,0,1,0,91.318
167,0,1,0,0,0,1,0,0,0,0,1,0,91.818
168,0,1,0,0,0,1,0,0,0,0,1,0,92.318
169,0,1,0,0,0,1,0,0,0,0,1,0,92.818
170,0,1,0,0,0,1,0,0,0,0,1,0,93.318
171,0,1,0,0,0,1,0,0,0,0,1,0,93.818
172,0,1,1,0,0,1,0,0,0,0,1,0,94.318
173,0,1,1,0,0,1,0,0,0,0,1,0,94.818
174,0,1,1,0,0,1,0,0,0,0,1,0,95.318
175,0,1,1,0,0,1,0,0,0,0,1,0,95.818
176,0,1,0,0,0,1,0,0,0,0,1,0,96.318
177,0,1,0,0,0,1,0,0,0,0,1,0,96.818
178,0,1,0,0,0,1,0,0,0,0,1,0,97.318
179,0,1,0,0,0,1,0,0,0,0,1,0,97.818
180,0,1,0,0,0,1,0,0,0,0,1,0,98.318
181,0,1,0,0,0,1,0,0,0,0,1,0,98.818
182,0,1,0,0,0,1,0,0,0,0,1,0,99.318
183,0,1,0,0,0,1,0,0,0,0,1,0,99.818
184,0,1,0,0,0,1,0,0,0,0,1,0,100.318
185,0,1,0,0,0,1,0,0,0,0,1,0,100.818
186,0,1,0,0,0,1,0,0,0,0,1,0,101.318
187,0,1,0,0,0,1,0,0,0,0,1,0,101.818
188,0,1,0,0,0,1,0,0,0,0,1,0,102.318
189,0,1,0,0,0,1,0,0,0,0,1,0,102.818
190,0,1,0,0,0,1,0,0,0,0,1,0,103.318
191,0,1,0,0,0,1,0,0,0,0,1,0,103.818
192,0,1,0,0,0,1,0,0,0,0,1,0,104.318
193,0,1,0,0,0,1,0,0,0,0,1,0,104.818
194,0,1,0,0,0,1,0,0,0,0,1,0,105.318
195,0,1,0,0,0,1,0,0,0,0,1,0,105.818
196,0,1,0,0,0,1,0,0,0,0,1,0,106.318
197,0,1,0,0,0,1,0,0,0,0,1,0,106.818
198,0,1,0,0,0,1,0,0,0,0,1,0,107.318
199,0,1,0,0,0,1,0,0,0,0,1,0,107.818
200,0,1,0,0,0,1,0,0,0,0,1,0,108.318
201,0,1,0,0,0,1,0,0,0,0,1,0,108.818
202,0,1,0,0,0,1,0,0,0,0,1,0,109.318
203,0,1,0,0,0,1,0,0,0,0,1,0,109.818
204,0,1,0,0,0,1,0,0,0,0,1,0,110.318
205,0,1,0,0,0,1,0,0,0,0,1,0,110.818
206,0,1,0,0,0,1,0,0,0,0,1,0,111.318
207,0,1,0,0,0,1,0,0,0,0,1,0,111.818
208,1,1,0,0,0,1,0,0,0,0,1,0,112.318
209,1,1,0,0,0,1,0,0,0,0,1,0,112.818
210,1,1,0,0,0,1,0,0,0,0,1,0,113.318
211,1,1,0,0,0,1,0,0,0,0,0,0,113.818
212,1,1,1,0,0,1,0,0,0,0,0,1,114.318
213,1,1,1,0,0,1,0,0,0,0,0,1,114.818
214,1,1,1,0,0,1,0,0,0,0,0,1,115.318
215,1,1,1,0,0,1,0,0,0,0,0,1,115.818
216,0,1,0,0,0,1,0,0,0,0,1,0,116.318
217,0,1,0,0,0,1,0,0,0,0,1,0,116.818
218,0,1,0,0,0,1,0,0,0,0,1,0,117.318
219,0,1,0,0,0,1,0,0,0,0,1,0,117.818
220,0,1,0,0,0,1,0,0,0,0,1,0,118.318
221,0,1,0,0,0,1,0,0,0,0,1,0,118.818
222,0,1,0,0,0,1,0,0,0,0,1,0,119.318
223,0,1,0,0,0,1,0,0,0,0,0,0,119.818
224,0,1,0,0,0,1,1,0,0,0,0,0,120.318
225,0,1,0,0,0,1,1,0,0,0,1,0,120.818
226,0,1,0,0,0,1,1,0,0,0,1,0,121.318
227,0,1,0,1,0,0,1,0,0,0,0,0,121.818
228,0,1,0,1,0,0,1,0,0,0,0,0,122.318
229,0,1,0,1,0,0,1,0,0,0,0,0,122.818
230,0,1,0,1,0,1,0,0,0,0,1,0,123.318
231,0,1,0,1,0,1,0,0,0,0,1,0,123.818
232,0,1,0,1,0,1,0,0,0,0,0,1,124.318
233,0,1,0,0,0,1,0,0,0,0,0,1,124.818
234,0,1,0,0,0,1,0,0,0,0,0,1,125.318
235,0,1,0,0,0,1,1,0,0,0,1,0,125.818
236,0,1,0,1,1,1,1,0,0,0,1,0,126.318
237,0,1,0,1,1,1,1,0,0,0,1,0,126.818
238,0,1,0,1,1,1,1,0,0,0,0,0,127.318
239,0,1,0,1,1,1,0,0,0,0,1,0,127.818
240,0,1,0,0,0,1,0,0,0,0,1,0,128.318
241,0,1,0,0,0,1,0,1,0,0,0,0,128.818
242,0,1,0,0,0,1,0,1,0,0,0,0,129.318
243,0,1,0,0,0,1,0,1,0,0,0,0,129.818
244,0,1,0,0,0,1,0,1,0,0,1,0,130.318
245,0,1,0,0,0,1,0,1,0,0,1,0,130.818
246,0,1,0,0,0,1,0,1,0,0,0,0,131.318
247,0,1,0,0,0,1,0,1,0,0,1,0,131.818
248,0,1,0,0,0,1,0,1,0,0,1,0,132.318
249,0,1,0,0,0,1,0,0,1,0,1,0,132.818
250,0,1,0,0,0,1,0,0,1,0,1,0,133.318
251,0,1,0,0,0,1,0,0,1,0,1,0,133.818
252,0,1,0,0,0,1,0,0,1,0,1,0,134.318
253,0,1,0,0,0,1,0,0,1,0,1,0,134.818
254,0,1,0,0,0,1,0,0,1,0,1,0,135.318
255,0,1,0,0,0,1,0,0,1,0,1,0,135.818
256,0,1,0,0,0,1,0,0,1,0,1,0,136.318
257,1,1,1,0,0,1,0,0,1,0,1,0,136.818
258,1,1,1,0,0,1,0,0,1,0,1,0,137.318
259,0,1,1,1,1,1,0,0,1,1,1,0,137.818
260,0,1,1,1,1,1,0,0,1,1,1,0,138.318
261,0,1,1,1,1,1,0,1,1,1,1,0,138.818
262,0,1,0,0,0,1,0,1,0,1,1,0,139.318
263,0,1,0,0,0,1,0,1,0,1,1,0,139.818
264,0,1,0,0,0,1,0,1,0,1,1,0,140.318
265,0,1,0,0,0,1,0,0,0,1,1,0,140.818
266,0,1,0,0,0,1,0,0,0,1,1,0,141.318
267,0,1,0,0,0,1,0,0,0,1,1,0,141.818
268,1,1,0,0,0,1,0,0,0,1,0,1,142.318
269,0,1,0,0,0,1,0,0,0,0,0,1,142.818
270,0,1,0,0,0,1,0,0,0,0,1,1,143.318
271,0,1,0,0,0,1,0,0,0,0,1,0,143.818
272,0,1,0,0,0,1,0,0,0,0,0,0,144.318
273,0,1,0,0,0,1,0,0,0,0,0,0,144.818
274,0,1,0,0,0,1,0,1,0,0,0,0,145.318
275,0,1,0,0,0,1,0,1,0,0,1,0,145.818
276,0,1,0,0,0,1,1,1,0,0,1,0,146.318
277,0,1,0,0,0,1,1,1,0,0,0,0,146.818
278,0,1,0,0,0,1,1,1,0,0,1,0,147.318
279,0,1,0,0,0,1,1,1,0,0,1,0,147.818
280,0,1,0,0,0,1,0,1,0,0,1,0,148.318
281,0,1,0,0,0,1,0,1,0,0,1,1,148.818
282,0,1,0,0,0,1,0,1,0,0,0,1,149.318
283,0,1,0,0,0,1,0,1,0,0,0,1,149.818
284,0,1,0,0,0,1,0,1,0,0,0,1,150.318
285,0,1,0,0,0,1,0,1,0,0,0,1,150.818
286,0,1,0,0,0,1,0,1,0,0,1,0,151.318
287,0,1,0,0,0,1,0,1,0,0,1,0,151.818
288,0,1,0,0,0,1,0,1,0,0,1,0,152.318
289,0,1,0,0,0,1,0,1,0,0,0,0,152.818
290,0,1,0,0,0,1,0,1,0,0,0,0,153.318
291,0,1,0,0,0,1,0,0,0,0,0,0,153.818
292,0,1,0,1,1,1,0,0,0,0,0,0,154.318
293,0,1,0,1,1,1,0,0,0,0,0,0,154.818
294,0,1,0,1,1,1,0,0,0,0,0,0,155.318
295,0,1,0,1,1,1,0,0,0,0,0,0,155.818
296,0,1,0,0,0,1,0,0,0,0,1,0,156.318
297,0,1,0,1,1,1,0,0,0,0,0,0,156.818
298,0,1,0,1,1,1,0,0,0,0,0,0,157.318
299,0,1,0,0,0,1,0,0,1,0,1,0,157.818
300,0,1,0,0,0,1,0,0,1,0,1,0,158.318
301,0,1,0,0,0,1,0,0,1,0,1,0,158.818
302,0,1,0,0,0,1,0,0,0,0,1,0,159.318
303,0,1,0,1,1,1,0,0,0,0,1,0,159.818
304,0,1,0,1,1,1,0,1,0,0,1,0,160.318
305,0,1,0,0,0,1,0,1,0,0,1,0,160.818
306,0,1,0,0,0,1,0,1,0,0,1,0,161.318
307,0,1,0,0,0,1,0,1,0,0,1,0,161.818
308,0,1,0,0,0,1,0,1,0,0,1,0,162.318
309,0,1,0,0,0,1,0,1,0,0,1,0,162.818
310,0,1,0,0,0,1,0,1,0,0,1,0,163.318
311,0,1,0,0,0,1,0,1,0,0,1,0,163.818
312,0,1,0,0,0,1,0,1,0,0,1,0,164.318
313,0,1,0,0,0,1,0,0,0,0,1,0,164.818
314,0,1,0,0,0,1,0,0,0,0,1,0,165.318
315,0,1,0,1,1,1,0,0,0,0,1,0,165.818
316,0,1,0,1,1,1,0,0,0,0,0,1,166.318
317,0,1,0,1,1,1,0,0,0,0,0,1,166.818
318,0,1,0,0,0,1,0,0,0,0,0,1,167.318
319,0,1,0,0,0,1,0,0,0,0,0,0,167.818
320,0,1,0,0,0,1,0,0,0,0,0,0,168.318
321,0,1,0,0,0,1,0,0,0,0,0,0,168.818
322,0,1,0,0,0,1,0,0,0,0,0,0,169.318
323,0,1,0,1,1,1,0,1,0,0,0,0,169.818
324,0,1,0,1,1,1,0,1,0,0,0,0,170.318
325,0,1,0,1,1,0,0,1,0,0,0,0,170.818
