,Child utterance:utterance,Child utterance:other vocalization,Child gaze:robot,Child gaze:parent,Child gaze:props,Child gesture:point at prop,Child gesture:other,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Verbal scaffolding:instruction translation,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent gesture:point at prop,Parent gesture:other,Child prop manipulation:child,Parent prop manipulation:parent,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG,time
Child utterance:utterance,1.0,0.0004074631447940569,0.0439258881774494,0.2186108421074907,0.0580791493871303,0.0011502539412807354,0.043315146150862426,0.006366926203922577,0.004103516723067919,0.00115897436763596,0.011656304555758506,0.00953631007771196,0.004103516723067919,0.029012570717932572,0.15334544936435765,0.014164537182269817,0.0007080735929494982,0.0008155628272057125,0.07331064686481231,0.003642970931975825,0.09471594873943885,0.1642918241294954,0.06215327913174339,0.07338373484204967,0.027870661385394173,0.013617373231283612,0.2792902074869916,1.0
Child utterance:other vocalization,0.007907851479846455,1.0,0.12062970810989539,0.2744230808856285,0.05047505922817197,0.004730130522024218,0.0016263168229740611,0.027005801035538568,0.002036011613368606,0.010505655667244727,0.005780986144730922,0.004730130522024218,0.002036011613368606,0.0746599458167688,0.15712431557701453,0.21952273846333537,0.011823769859563947,0.0004047250183828395,0.03622228590535823,0.003272696664761498,0.36000666635115874,0.008122414187967327,0.008122414187967327,0.0030657850361956005,0.052855644127529626,0.02214783125828044,0.33052562621692233,1.0
Child gaze:robot,0.014313282674987271,0.0020253626753550837,1.0,0.07129246456741904,0.2483088696976186,0.0003740334945611422,3.518923527872627e-05,0.011753252941699757,0.0017440429849825884,0.005877872669944172,0.019730906882968937,0.009704779048003593,0.0017440429849825884,0.07049015600084599,0.006678745290874672,0.0683737902312747,0.011320226476020894,0.0023347636654312423,0.010243233425726752,0.023650332383863066,0.0008308742833261319,0.02547743879293342,0.00017740400838855237,2.1189201352181555e-06,0.3298370748108943,0.09783413422550052,0.05003998147318947,1.0
Child gaze:parent,0.12534308250815637,0.008107354030701813,0.1254450721205109,1.0,0.08335603180550229,0.012721098152494696,0.012895900935974695,0.0004431096330906785,0.0001563246050588907,0.00012108302092209051,0.01555174063786779,0.0008045887447668024,0.005471585198635006,0.012105037972245745,0.10138689974354645,0.014116766100342307,0.006884518949950758,0.001087182486601487,0.013921021202124153,0.008798006729485993,0.03879585332657014,0.09053767064106957,0.09053767064106957,0.028658415176772173,0.056838059726565034,0.027219818329409968,0.5410851217076396,1.0
Child gaze:props,0.02051647954824825,0.0009187328820650898,0.26918826964815384,0.051355971885459394,1.0,0.0001449831667616739,0.00739764397236723,0.019409757505954833,0.018596789974061036,0.0032300329123442387,0.0692667279266613,0.002952327333447516,0.001824709656413546,0.03927194308642902,0.02258058232347662,0.19057049319024988,0.023921496615295627,0.0003601639384694457,0.08466859848518743,0.045998712210251064,0.00386385457013122,0.009446459277841096,0.03714660999989831,0.013961763288419216,0.15892849196918482,0.3364670580559014,0.03646382330480645,1.0
Child gesture:point at prop,0.0016754683182896777,0.0003550139702690164,0.0016719923585853118,0.032317549291755586,0.0005978296865882993,1.0,0.002855550539529126,0.0009007781184999478,0.003575003632020331,0.00020949470548876442,0.01528196638382759,0.00830703154414733,0.003575003632020331,0.02424524766001973,0.02067292171657974,0.0004188336361874291,0.020774726662084582,0.0007105759167971089,0.033811756114149445,0.0774420316411697,0.005921752194854267,0.01426775759942177,0.01426775759942177,0.0053835289230258964,0.05292009618768714,0.0034938182099884924,0.020774726662084582,1.0
Child gesture:other,0.1455860858883888,0.000281653445976368,0.00036297040691991124,0.07559674574168578,0.07038675078902056,0.006589120455331053,1.0,0.0376375865144626,0.00283602926825037,0.014636247893669265,0.008053147393793687,0.006589120455331053,0.00283602926825037,0.014638972667103909,0.014839936141912572,0.0400683191538435,0.01647307624408802,0.0005637365800412499,0.05049343148391459,0.0045587641642730785,0.0131193745952441,0.011315401546263969,0.011315401546263969,0.0042705247297690156,0.011975576003686629,0.03086369814637977,0.11079310904549067,1.0
Parent utterance:utterance,0.0029427330509173375,0.0006431435864924349,0.0166709533743244,0.00035719351762212323,0.02539560514412761,0.0002858224835771272,0.0051756241614262346,1.0,0.006480525720379087,0.30227780187043257,0.16039182213037803,0.13027108281975217,0.05507588539075644,0.09468249957402756,0.015492452821899833,0.038597941294284115,0.06289159523932651,0.01083648362380456,0.002384237727331908,3.4203481264174174e-06,0.012958104609310836,0.03198278768790159,0.014859631316158518,0.001033967403190827,0.0709097463356374,0.040607349058445256,0.00033448410901482025,1.0
Parent utterance:missing data,0.01151206692371432,0.00029431146298438576,0.015015354362835624,0.0007648843312209043,0.1476904758827949,0.00688543044140925,0.00236716058304393,0.0393356459024809,1.0,0.015294966128487492,0.008415346701018527,0.00688543044140925,0.0029635172419761715,0.0003186481002047006,0.005865651492824843,2.5119834171702658e-05,0.03786386687208866,0.0005890726173681839,0.05277481640949921,0.004763728813957138,0.01370973348659917,0.011824490637770831,0.011824490637770831,0.00446252453125642,0.07705079887944041,0.0015646072136222286,0.00028035331547739004,1.0
Verbal scaffolding:cognitive,0.0009514116561644755,0.0004443729635036808,0.01480799005426807,0.00017336012473990824,0.007506180263737434,0.00011806609473887811,0.003574738743924711,0.536883233463402,0.0044755463418773974,1.0,0.012714934787559763,0.010401972171250046,0.0044755463418773974,0.029029001491036113,0.01963200631699455,0.004015118631461174,0.0427210532610295,0.029359851285322248,0.013351743133669412,0.007195357525049085,0.0021867439750055165,0.013711372455197636,0.013711372455197636,5.180630346605359e-05,0.03482281467990171,0.004846395150756849,4.456535536062546e-05,1.0
Verbal scaffolding:technical,0.014622497617981033,0.0003736736122428571,0.07596071141214329,0.03402600834378626,0.2459816731782592,0.013161258618269969,0.0030057041782548363,0.43533325446599425,0.0037630118692642805,0.01943032985725893,1.0,0.008744258259675956,0.0037630118692642805,0.13897395644629465,0.09151187189821,0.4199439811340465,0.22916803500498575,0.0007479262963710966,0.0941127579610022,0.0209801917492658,0.002630789433110528,0.011879261078372805,0.015019514647335008,0.005666736343254236,0.09814729721576984,0.4309455852377843,0.021870622498552955,1.0
Verbal scaffolding:affective,0.013890659127672888,0.0003550139702690164,0.043381987565196505,0.0020440323710174185,0.012173750676598238,0.00830703154414733,0.002855550539529126,0.41055321963744507,0.003575003632020331,0.01845710321272085,0.010153243291669244,1.0,0.003575003632020331,0.02337475137345254,0.023392573668406528,0.05057354162960637,0.020774726662084582,0.0007105759167971089,0.022476218437867866,0.005746944102472378,0.005921752194854267,0.01426775759942177,0.008409875349138238,0.0053835289230258964,0.0069577314919561945,0.038942630107351044,7.639109746718968e-06,1.0
Verbal scaffolding:instruction translation,0.01151206692371432,0.00029431146298438576,0.015015354362835624,0.02677204771310432,0.014491330916762739,0.00688543044140925,0.00236716058304393,0.3343008914668221,0.0029635172419761715,0.015294966128487492,0.008415346701018527,0.00688543044140925,1.0,0.108921664188827,0.1509680398710812,0.006410471705618772,0.017214601933606622,0.0005890726173681839,0.05277481640949921,0.004763728813957138,0.01370973348659917,0.011824490637770831,0.011824490637770831,0.00446252453125642,0.07705079887944041,0.03225511541844027,0.017214601933606622,1.0
Parent gaze:robot,0.00934819034893681,0.0012395351135714439,0.06970294214538258,0.00680266081501362,0.035821282453239546,0.005363218238826481,0.0014033689029091091,0.06600700061424267,3.6597849800978774e-05,0.01139406770537615,0.03569555044310542,0.005170658376109466,0.012510034434535116,1.0,0.22903345416612408,0.1040009257557445,0.01618180599844878,0.0024815903268234954,0.01145700941693891,0.0201410005514685,0.025636850707204884,0.010123762244285713,0.002811328746961191,0.0006399210546495949,0.5822504577147534,0.08958441648063241,0.03334646050673308,1.0
Parent gaze:child,0.05458966270675615,0.0028821245583740317,0.00729651874873749,0.06294955841173351,0.022755797562058054,0.0050524135176727766,0.0015717789368140558,0.011932698014730628,0.0007443182648170085,0.008513527961219375,0.025969063261377996,0.0057170900676620715,0.019156997243550754,0.25304461900120123,1.0,0.063398284142746,0.00857513588061936,0.005772599232122607,0.01371400339370441,0.01467171343955285,0.024790968521592793,0.02034814144286765,0.023841259781513583,0.0020528595463962834,0.18440942943032784,0.05371839023189933,0.17600973537850928,1.0
Parent gaze:props,0.006340632103416468,0.005063368166495382,0.0939293084901294,0.011021398659878301,0.2414922678244209,0.00012871502003971203,0.005336434765956354,0.03738292306104118,4.008204179352418e-06,0.0021894443509115416,0.1498514171483953,0.015542148151198035,0.0010228761586493658,0.1444860893741232,0.07972015823076187,1.0,0.08012801166828255,0.001454437990723603,0.08765778625041003,0.08347249812929287,0.0003761959635385169,8.337755592067544e-05,0.026729022838483343,0.010066090589729671,0.11928182282142417,0.6669172796300104,0.0110617217869679,1.0
Parent gesture:point at prop,0.000536885713069812,0.00046194390978186885,0.02634146155565281,0.009104338053667161,0.051346305677140616,0.010814246819725844,0.0037161913810197394,0.10317512627834344,0.010233667815959092,0.03945942603040462,0.13851500338788397,0.010814246819725844,0.004652681628308556,0.03807931299200912,0.018264380295332713,0.13572431199137575,1.0,0.0009246202820997343,0.015148269490942542,0.00748032231204068,2.7833627990389046e-05,0.05527616321748593,0.02885305863391355,0.011596940582397302,0.017553910568320157,0.131106412464508,0.005970813269207636,1.0
Parent gesture:other,0.008721721678237284,0.00022301531137061274,0.07662474289290522,0.020277694461654876,0.010903412262677773,0.005216903398109361,0.001793663338153821,0.25073336495203397,0.0022455179873579934,0.3824758474392319,0.006375921048561839,0.005216903398109361,0.0022455179873579934,0.08236326486155734,0.1734110188061409,0.034746402364536376,0.013040816005726008,1.0,0.039953854159351924,0.003609471262187475,0.010386331355916338,0.00895837270897695,0.00895837270897695,0.0033812655143466925,0.0583042146753619,0.048608514229381394,0.013040816005726008,1.0
Child prop manipulation:child,0.02942048491125706,0.0007490114518398028,0.0126154035612562,0.00974372899158951,0.09618836694429038,0.009315539519966528,0.0060288929828205785,0.00207019511744419,0.007549399502065837,0.006527187775655491,0.03010721627754778,0.006192464550214169,0.007549399502065837,0.0142696299262424,0.015459929500377818,0.07858562419748304,0.008017562395985382,0.0014993280086551353,1.0,0.00496169556346848,0.009848090239901233,0.03022253206239481,0.03022253206239481,0.011374327367892997,0.023032142113098245,0.05700211735383938,0.009262653851886286,1.0
Parent prop manipulation:parent,0.007031308302167115,0.00032547378728807756,0.14008737164951046,0.029616658049480438,0.25132952691261523,0.10261590573114211,0.002617866373668606,1.4283337405820823e-05,0.00327740692694511,0.016917577563164834,0.03227967956824936,0.007615087850406263,0.00327740692694511,0.12064800401678,0.07954662396882146,0.35990980606514655,0.019041330752575674,0.0006514472009943483,0.023863150133336602,1.0,0.017278813242679995,0.013078351873189651,0.013078351873189651,0.00493527645026864,0.0853000428579627,0.41414393970364505,0.019041330752575674,1.0
Conversational turns:PC,0.08380608996875098,0.016413183935278332,0.0022561557935409176,0.0598699782028273,0.009678111971222722,0.0035971637202473965,0.0034537071651541775,0.024806922840769772,0.004323986997323253,0.002356979291431978,0.001855572299651746,0.0035971637202473965,0.004323986997323253,0.07040050985998551,0.06161783579136135,0.0007435949470156858,3.248021042610516e-05,0.0008593495183397212,0.021713093849812758,0.007921108108602744,1.0,0.08162027424265014,0.4124811096034142,0.261457657673884,0.036913911184770595,0.0023575719798842212,0.07571789155134503,1.0
Conversational turns:CP,0.16120659115873348,0.00041065943322259084,0.07671917309724852,0.1549414036391713,0.026239364061456157,0.009611254455120117,0.003303366248998878,0.0678988013043138,0.004135730081082731,0.016389025626303084,0.0092917089367639,0.009611254455120117,0.004135730081082731,0.030829568432174013,0.05608569066645979,0.0001827619725812824,0.07153215094263335,0.0008219609191993689,0.0738949764380072,0.006648741159872299,0.09051330596402432,1.0,0.3201303288409164,0.13707639199960056,0.029201571386020263,0.000682755468196838,0.13036338593020186,1.0
Conversational turns:PCP,0.06098610391146516,0.00041065943322259084,0.0005342094603120779,0.1549414036391713,0.10318187955593387,0.009611254455120117,0.003303366248998878,0.031546692053140195,0.004135730081082731,0.016389025626303084,0.011747949435051152,0.005665182587604763,0.004135730081082731,0.008561249256786186,0.06571379135333204,0.0585894955205805,0.03733836115283881,0.0008219609191993689,0.0738949764380072,0.006648741159872299,0.4574234676903919,0.3201303288409164,1.0,0.3078817396160025,0.0062061454367717175,0.04509823808021144,0.1473165195055056,1.0
Conversational turns:CPC,0.14901406885771676,0.0003207738752870247,1.320454233686871e-05,0.10149647478549824,0.08025740959295721,0.007505022916154312,0.0025800529394830246,0.004542691650601349,0.0032300629079094617,0.00012814906164810015,0.00917275503724215,0.007505022916154312,0.0032300629079094617,0.004032854251235741,0.011709738060444995,0.045662336496448304,0.031057568011934832,0.0006420397786095802,0.05755332391668832,0.005192284873471869,0.6000346956956712,0.2836764503414475,0.6371542009908745,1.0,2.0865139370885046e-05,0.03516722908014724,0.11117592064666226,1.0
Joint attention:robot,0.009703797019279292,0.0009482342263777204,0.35243189270626696,0.03451477121686876,0.15664393945130978,0.012649476817893145,0.0012405399480211856,0.053416977375612885,0.009562566681730384,0.01476942757360361,0.027240313410743035,0.0016631047475892484,0.009562566681730384,0.6291626490861038,0.18035908955932795,0.09277661636322772,0.008060553426498073,0.0018982332561186788,0.019982323483429692,0.015387329121877511,0.014525531302957561,0.010361766656304974,0.002202163369937897,3.5775709592686433e-06,1.0,0.09367089389184888,0.03821249673119299,1.0
Joint attention:props,0.007007250727834115,0.0005872396228266964,0.15449912559697596,0.02442929111997362,0.49013337109617433,0.0012342755622574953,0.004725221737777857,0.04521035364931318,0.00028698721291085013,0.0030379351649870356,0.1767730597858671,0.013757423478454217,0.0059163767081372234,0.14306897004436234,0.07764934340477077,0.7666481992382835,0.08897639400861806,0.0023389549769211077,0.07309076868714164,0.11041426657352699,0.001371092681121732,0.00035805740556603605,0.023650866049091303,0.008911791243625957,0.13844094412829017,1.0,0.022430879923590562,1.0
Mutual gaze:MG,0.21176742600364692,0.012913334906824074,0.11643991849577653,0.7155506288309381,0.07826778765876556,0.010814246819725844,0.024994019988160403,0.0005487289685429282,7.577257524678633e-05,4.116292106907008e-05,0.013219161867038854,3.97652492055522e-06,0.004652681628308556,0.07847148253620695,0.37488720731522707,0.018736825583437068,0.005970813269207636,0.0009246202820997343,0.01750072775485344,0.00748032231204068,0.06488577499987211,0.10073774803781498,0.11383820938571795,0.04151324873335884,0.08321745601319257,0.033051824902223664,1.0,1.0
time,0.03387883365763699,0.0017456544472641586,0.10397040934770028,0.059088066188524475,0.09590601723050686,0.02325872803161761,0.010079717593522787,0.07330057808197238,0.012076229350766092,0.041269937739564395,0.027006467255066884,0.02325872803161761,0.012076229350766092,0.10514463448479693,0.09516755945311467,0.07568299046667057,0.04468121778793204,0.003167988887927507,0.08442006370589765,0.017552865117003682,0.03828917293797179,0.0345272196439679,0.0345272196439679,0.01668403101094979,0.09730474567101197,0.065837621697208,0.04468121778793204,1.0
